,player_ref,player_name,rating_1,rating_2,impact,maps_played,maps_won,rounds_played,rounds_with_kills,total_kills,total_deaths,kill_death_difference,kd_ratio,rounds_0_kill,rounds_1_kill,rounds_2_kill,rounds_3_kill,rounds_4_kill,rounds_5_kill,total_opening_kills,total_opening_deaths,opening_kill_ratio,kills_per_round,deaths_per_round,assists_per_round,average_damage_per_round,grenade_damage_per_round,headshot_percent,kast,team_win_percent_after_first_kill,first_kill_in_won_rounds,saved_by_teammate_per_round,saved_a_teammate_per_round,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills
697,12553,yuurih,1.14,1.21,1.2,643,0.639,16661,8475,12893,10674,2219,1.21,8186,5221,2297,766,175,16,1696,1202,1.41,0.77,0.64,0.16,86.3,5.1,0.439,0.737,0.778,0.14400000000000002,0.09,0.11,9600,354,607,2141,195,31
698,8412,dream3r,1.14,,1.12,737,0.617,18992,9622,14464,11619,2845,1.24,9370,5967,2664,823,154,14,1626,1285,1.27,0.76,0.61,0.13,78.9,3.0,0.493,0.743,0.742,0.11699999999999999,0.08,0.11,11249,132,165,2744,173,13
699,9960,frozen,1.14,,1.22,875,0.605,22701,11475,17641,14821,2820,1.19,11226,7008,3087,1088,265,27,2534,2201,1.15,0.78,0.65,0.14,84.4,4.7,0.547,0.732,0.736,0.154,0.1,0.11,12376,1089,620,3287,242,74
700,3972,huNter-,1.14,,1.28,1075,0.619,28095,14458,22200,18671,3529,1.19,13637,8723,4066,1357,286,26,3441,2822,1.22,0.79,0.66,0.15,86.8,5.5,0.49200000000000005,0.7290000000000001,0.765,0.17300000000000001,0.1,0.11,15571,272,2235,3581,308,267
701,14087,Jamppi,1.14,1.18,1.31,453,0.483,12079,6163,9462,7904,1558,1.2,5916,3740,1684,610,121,8,1880,1343,1.4,0.78,0.65,0.1,79.3,2.7,0.308,0.7040000000000001,0.726,0.226,0.08,0.09,2396,4909,343,1698,77,65
702,10981,mantuu,1.14,1.19,1.25,370,0.46799999999999997,9873,5007,7683,6429,1254,1.2,4866,3059,1365,452,117,14,1259,952,1.32,0.78,0.65,0.12,81.4,3.4,0.396,0.721,0.721,0.187,0.1,0.13,3901,2072,323,1300,86,18
703,8944,Benkai,1.14,,1.26,581,0.589,14975,7705,11751,9737,2014,1.21,7270,4689,2156,705,140,15,1787,1496,1.19,0.78,0.65,0.14,85.6,4.1,0.46799999999999997,0.7170000000000001,0.76,0.171,0.07,0.09,8404,401,791,1908,148,120
704,8714,cosmeeeN,1.16,,1.22,319,0.586,8310,4365,6727,5618,1109,1.2,3945,2640,1203,418,93,11,878,699,1.26,0.81,0.68,0.13,83.9,2.5,0.469,0.721,0.765,0.151,0.1,0.11,5396,23,225,1031,55,4
705,9626,XELLOW,1.16,,1.33,594,0.564,15339,8024,12398,10356,2042,1.2,7315,4815,2259,758,169,23,2224,1692,1.31,0.81,0.68,0.12,84.0,1.7,0.43799999999999994,0.7170000000000001,0.74,0.204,0.1,0.11,5824,3816,321,2346,82,27
706,11271,smooya,1.16,1.19,1.3,548,0.5579999999999999,14496,7330,11348,9282,2066,1.22,7166,4383,2075,690,165,17,2133,1498,1.42,0.78,0.64,0.1,79.5,2.4,0.272,0.7040000000000001,0.7609999999999999,0.217,0.08,0.09,2747,6084,409,2026,78,30
707,15165,blameF,1.16,1.24,1.23,473,0.5579999999999999,12610,6490,9746,7626,2120,1.28,6120,4061,1747,549,121,12,1501,1070,1.4,0.77,0.6,0.15,86.6,6.8,0.389,0.747,0.742,0.171,0.08,0.09,7445,94,526,1466,226,14
708,3741,NiKo,1.16,,1.3,1240,0.565,32691,16805,26244,21880,4364,1.2,15886,9987,4731,1632,400,55,4550,3773,1.21,0.8,0.67,0.13,85.7,3.7,0.504,0.7120000000000001,0.728,0.19399999999999998,0.08,0.1,17525,2641,1017,4822,208,69
709,9172,XigN,1.16,,1.26,574,0.605,14721,7618,11756,9607,2149,1.22,7103,4573,2137,741,149,18,1763,1515,1.16,0.8,0.65,0.13,84.0,2.5,0.516,0.736,0.72,0.16,0.09,0.11,8446,339,827,2038,85,35
710,7592,device,1.17,,1.29,1506,0.675,39057,19938,30606,24327,6279,1.26,19119,12043,5645,1820,394,36,5200,3743,1.39,0.78,0.62,0.13,80.9,4.2,0.35,0.7140000000000001,0.7929999999999999,0.18899999999999997,0.08,0.08,12667,10190,1409,5886,367,111
711,15631,KSCERATO,1.17,1.21,1.1,551,0.6679999999999999,14192,7111,10679,8039,2640,1.33,7081,4456,1896,620,124,15,1146,806,1.42,0.75,0.57,0.13,80.2,5.0,0.507,0.7609999999999999,0.762,0.11,0.08,0.1,7511,332,918,1711,179,63
712,7131,BnTeT,1.18,,1.18,827,0.63,21417,10909,16744,13207,3537,1.27,10508,6651,2972,1027,227,32,1882,1480,1.27,0.78,0.62,0.15,84.7,5.1,0.396,0.752,0.763,0.12300000000000001,0.1,0.12,12209,639,995,2668,256,24
713,9102,Sico,1.18,,1.23,699,0.705,17725,9193,13734,10363,3371,1.33,8532,5752,2509,782,132,18,2138,1094,1.95,0.77,0.58,0.13,81.0,7.0,0.345,0.743,0.8109999999999999,0.171,0.09,0.1,3632,6147,746,2780,361,91
714,12591,sterling,1.18,1.2,1.16,490,0.584,12629,6587,9839,7445,2394,1.32,6042,4120,1809,544,101,13,1396,768,1.82,0.78,0.59,0.09,77.9,3.7,0.301,0.736,0.765,0.158,0.08,0.11,2800,4940,329,1643,110,25
715,16816,vsm,1.18,1.24,1.35,337,0.605,8840,4577,7162,5814,1348,1.23,4263,2699,1302,453,115,8,1244,1029,1.21,0.81,0.66,0.13,87.2,2.7,0.456,0.727,0.7490000000000001,0.196,0.1,0.11,4770,865,245,1178,62,68
716,9216,coldzera,1.18,,1.13,1185,0.654,30687,16014,24278,18672,5606,1.3,14673,9859,4408,1415,302,30,2833,1938,1.46,0.79,0.61,0.11,81.2,2.5,0.48700000000000004,0.7440000000000001,0.757,0.127,0.08,0.1,14405,3067,2082,4529,169,66
